Emp ID,Name,Year/Age,Projected Salary,Death Probability (qx),Survival Probability (px),Expected Outflow
1,Employee 1,35,11280.00,0.002290,0.997710,25.77
1,Employee 1,36,11844.00,0.002290,0.997710,27.06
1,Employee 1,37,12436.20,0.002290,0.997710,28.41
1,Employee 1,38,13058.01,0.002290,0.997710,29.83
1,Employee 1,39,13710.91,0.002290,0.997710,31.33
1,Employee 1,40,14396.46,0.003211,0.996789,46.08
1,Employee 1,41,15116.28,0.003211,0.996789,48.38
1,Employee 1,42,15872.09,0.003211,0.996789,50.80
1,Employee 1,43,16665.70,0.003211,0.996789,53.34
1,Employee 1,44,17498.98,0.003211,0.996789,56.01
1,Employee 1,45,18373.93,0.004626,0.995374,84.60
1,Employee 1,46,19292.63,0.004748,0.995252,91.17
1,Employee 1,47,20257.26,0.004748,0.995252,95.72
1,Employee 1,48,21270.12,0.004748,0.995252,100.51
1,Employee 1,49,22333.63,0.004748,0.995252,105.54
1,Employee 1,50,23450.31,0.007059,0.992941,164.37
1,Employee 1,51,24622.83,0.007059,0.992941,172.59
1,Employee 1,52,25853.97,0.007059,0.992941,181.21
1,Employee 1,53,27146.66,0.007059,0.992941,190.28
1,Employee 1,54,28504.00,0.007059,0.992941,199.79
1,Employee 1,55,29929.20,0.010286,0.989714,304.69
1,Employee 1,56,31425.66,0.010286,0.989714,319.92
1,Employee 1,57,32996.94,0.010286,0.989714,335.92
1,Employee 1,58,34646.79,0.010286,0.989714,352.71
1,Employee 1,59,36379.13,0.010286,0.989714,370.35
1,Employee 1,60,38198.08,0.000000,1.000000,0.00
2,Employee 2,23,8030.00,0.001152,0.998848,9.24
2,Employee 2,24,8431.50,0.001152,0.998848,9.70
2,Employee 2,25,8853.08,0.001413,0.998587,12.49
2,Employee 2,26,9295.73,0.001492,0.998508,13.85
2,Employee 2,27,9760.52,0.001492,0.998508,14.54
2,Employee 2,28,10248.54,0.001492,0.998508,15.27
2,Employee 2,29,10760.97,0.001492,0.998508,16.03
2,Employee 2,30,11299.02,0.001492,0.998508,16.83
2,Employee 2,31,11863.97,0.001492,0.998508,17.67
2,Employee 2,32,12457.17,0.001492,0.998508,18.56
2,Employee 2,33,13080.02,0.001492,0.998508,19.49
2,Employee 2,34,13734.03,0.001492,0.998508,20.46
2,Employee 2,35,14420.73,0.002290,0.997710,32.95
2,Employee 2,36,15141.76,0.002290,0.997710,34.60
2,Employee 2,37,15898.85,0.002290,0.997710,36.32
2,Employee 2,38,16693.79,0.002290,0.997710,38.14
2,Employee 2,39,17528.48,0.002290,0.997710,40.05
